Endpoint                    Methods    Rule                           
--------------------------  ---------  -------------------------------
admin.approve_sponsor       POST       /admin/approve/<int:sponsor_id>
admin.dashboard             GET        /admin/                        
admin.export_payouts        GET        /admin/export/payouts          
api.example_restore         POST       /api/example/<uuid>/restore    
api.example_soft_delete     POST       /api/example/<uuid>/delete     
api.get_example             GET        /api/example/<uuid>            
api.stats                   GET        /api/stats                     
api.status                  GET        /api/status                    
healthz                     GET        /healthz                       
main.become_sponsor_legacy  POST       /become_sponsor                
main.home                   GET        /                              
main.index_alias            GET        /index                         
main.sponsor                GET, POST  /sponsor                       
sms.sms_webhook             POST       /sms/webhook                   
static                      GET        /static/<path:filename>        
stripe_bp.create_checkout   POST       /api/donate                    
stripe_bp.stripe_webhook    POST       /stripe/webhook                
